artist,album,track,id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence
Travis Scott,Wash Us In The Blood,Wash Us In The Blood,7mEUjhl6aTztdHCrxoTgBG,0.847,0.304,137.22,0.409,0.184,0.0,4,0.67,10,189827,-4.85,0.381
Travis Scott,TKN (feat. Travis Scott),TKN (feat. Travis Scott),4w47S36wQGBhGg073q3nt7,0.509,0.115,94.634,0.467,0.192,1.49e-06,4,0.776,0,129371,-6.266,0.485
Travis Scott,THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,0.537,0.157,129.979,0.0514,0.233,0.0,4,0.716,0,165978,-7.648,0.28
Travis Scott,Antisocial (with Travis Scott) [MK Remix],Antisocial (with Travis Scott) - MK Remix,1qf82BwoRe9zdLvyvx7oGP,0.868,0.115,124.981,0.0992,0.104,0.00024,4,0.796,10,179502,-5.774,0.586
Travis Scott,Antisocial (with Travis Scott) [Steel Banglez & Zeph Ellis Remix],Antisocial (with Travis Scott) - Steel Banglez & Zeph Ellis Remix,72McVYThUxWasGByny8wE5,0.566,0.236,142.035,0.0998,0.383,6.19e-06,4,0.748,10,188312,-10.174,0.701
Travis Scott,Antisocial (with Travis Scott) [Ghali Remix],Antisocial (with Travis Scott) - Ghali Remix,3GUEsjyYsxsgk06bkiyYsa,0.844,0.366,152.033,0.0683,0.174,0.0,4,0.705,5,226386,-4.703,0.934
Travis Scott,Hot (Remix) [feat. Gunna and Travis Scott],Hot (Remix) [feat. Gunna and Travis Scott],56AMYGJzxBO6p8v0wEe9de,0.631,0.0806,111.983,0.216,0.188,0.0,4,0.845,7,279907,-8.206,0.545
Travis Scott,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,0.427,0.21,76.469,0.0317,0.0546,5.83e-06,4,0.598,7,175721,-8.764,0.0605
Travis Scott,Antisocial (with Travis Scott),Antisocial (with Travis Scott),7mb1IkA4MKjjh8KHSzOEB2,0.823,0.361,151.956,0.0495,0.133,0.0,4,0.715,5,161747,-5.313,0.91
Travis Scott,The London (feat. J. Cole & Travis Scott),The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,0.586,0.132,97.981,0.147,0.0247,0.0,4,0.796,4,200107,-6.946,0.179
Travis Scott,SICKO MODE (Skrillex Remix),SICKO MODE - Skrillex Remix,0u695M7KyzXaPIjpEbxOkB,0.833,0.14,155.051,0.172,0.0214,0.0,4,0.651,1,304512,-3.356,0.443
Travis Scott,Watch (feat. Lil Uzi Vert & Kanye West),Watch (feat. Lil Uzi Vert & Kanye West),3DoBTwfr8yi2LN08SBpFkN,0.559,0.379,78.534,0.0416,0.0372,0.0,4,0.706,4,217405,-5.216,0.252
Travis Scott,Dark Knight Dummo (Feat. Travis Scott),Dark Knight Dummo (Feat. Travis Scott),3YeJXuRSNS5FYwOsDu44kD,0.821,0.139,181.444,0.111,0.167,0.0,3,0.28,8,256163,-2.864,0.254
Travis Scott,Know No Better (Remixes),Know No Better,7AO5sukpsPsMmuWDN2WQNO,0.814,0.126,119.041,0.0999,0.132,9.64e-06,4,0.738,7,225850,-4.414,0.483
